Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/ew/toggle,763,0,6,18.221245736568324,1.1964320000288353,216.031490999967,42.36959370904325,25.391915747676563,0.0,6,13,21,26,48,83,120,150,220,220,220
GET,/health,1118,0,6,16.896460880143422,1.019046999999773,196.11957600000096,34.551878354203936,37.20597877575675,0.0,6,12,19,24,42,81,120,150,190,200,200
GET,/stream/tracks,345,0,14,28.200794423186807,2.386718000025212,158.58913099998517,0.0,11.481272520246938,0.0,14,34,47,53,71,77,100,110,160,160,160
GET,/tracks,2394,0,10,20.257150092730527,2.577192999979161,213.9845859999241,33442.1499582289,79.67004757527876,0.0,10,16,21,27,47,79,120,150,200,210,210
GET,/tracks [pre-ack scan],730,0,10,21.705008934246653,2.6796639999702165,216.6832789999944,33109.308219178085,24.293707071826855,0.0,10,18,23,28,59,86,120,150,220,220,220
POST,/tracks/[id]/ack,9,0,76,56.4614773333258,1.7551839999896401,98.85642899996583,217.55555555555554,0.2995114570499201,0.0,76,92,94,98,99,99,99,99,99,99,99
,Aggregated,5359,0,9,20.035595256017544,1.019046999999773,216.6832789999944,19463.18660197798,178.34243314783578,0.0,9,16,22,28,50,81,120,150,200,220,220
