Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/ew/toggle,766,0,7,15.797861285900833,1.122309000010091,159.08725999997841,42.25065274151436,25.488057734865617,0.0,7,14,20,25,40,59,98,110,160,160,160
GET,/health,1131,0,6,15.712122234305957,1.0058279999896058,158.48939299999643,34.55172413793103,37.63315051975589,0.0,6,13,19,24,42,63,100,120,150,160,160
GET,/stream/tracks,344,0,18,29.603869997093017,2.2916769999881126,185.85548299998322,0.0,11.446334021923985,0.0,18,36,50,54,66,82,130,150,190,190,190
GET,/tracks,2253,0,10,19.726714952508072,2.4214219999976194,175.24784200000454,32648.32179316467,74.96683299824052,0.0,10,17,23,28,44,68,110,130,170,180,180
GET,/tracks [pre-ack scan],795,0,12,20.56787467547182,2.601232000017717,138.76673400000072,32990.52955974843,26.453010312295255,0.0,12,18,24,30,47,79,100,120,140,140,140
POST,/tracks/[id]/ack,2,0,23,27.411575999991555,22.76313099997651,32.0600210000066,232.0,0.06654845361583711,0.0,32,32,32,32,32,32,32,32,32,32,32
,Aggregated,5291,0,10,19.071229555471767,1.0058279999896058,185.85548299998322,18872.811566811568,176.0539340406971,0.0,10,17,23,29,47,69,110,130,170,190,190
